cre_jgi5_5	MapManId	MapManDescription
Cre05.g238280		
Cre05.g241644		
Cre05.g234642		
Cre05.g234643		
Cre05.g244150		
Cre05.g242550	GMM:31.1	cell.organisation
Cre05.g247550	GMM:26.9	misc.glutathione S transferases
Cre05.g243455		
Cre05.g241651		
Cre05.g230900	GMM:26.13;GMM:11.3	misc.acid and other phosphatases;lipid metabolism.phospholipid synthesis
Cre05.g236878		
Cre05.g241900		
Cre05.g239400		
Cre05.g239652		
Cre05.g233902		
Cre05.g240700		
Cre05.g240225		
Cre05.g241638		
Cre05.g247350		
Cre05.g243050	GMM:21.1	redox.thioredoxin
Cre05.g235750	GMM:28.2	DNA.repair
Cre05.g239250	GMM:27.3.57	RNA.regulation of transcription.JUMONJI family
Cre05.g248500	GMM:21.1	redox.thioredoxin
Cre05.g234646		
Cre05.g236600		
Cre05.g237850		
Cre05.g233950		
Cre05.g243454	GMM:34.15	transport.potassium
Cre05.g241654		
Cre05.g242858		
Cre05.g232550	GMM:4.3.12	glycolysis.unclear/dually targeted.phosphoglycerate mutase
Cre05.g238724		
Cre05.g240500		
Cre05.g234661	GMM:9.5	mitochondrial electron transport / ATP synthesis.cytochrome c reductase
Cre05.g244701		
Cre05.g242200	GMM:33.99;GMM:31.1;GMM:30.1;GMM:29.4;GMM:29.2.2.3.4;GMM:27.3.51;GMM:27.1	"development.unspecified;cell.organisation;signalling.in sugar and nutrient physiology;protein.postranslational modification;protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.WD-repeat proteins;RNA.regulation of transcription.general transcription, TBP-binding protein;RNA.processing"
Cre05.g239900	GMM:14.1	S-assimilation.APS
Cre05.g244200		
Cre05.g237750		
Cre05.g235800		
Cre05.g246553		
Cre05.g236250	GMM:33.99;GMM:3.5;GMM:29.2.2.3.4;GMM:27.3.55;GMM:20.2.2	development.unspecified;minor CHO metabolism.others;protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.WD-repeat proteins;RNA.regulation of transcription.HDA;stress.abiotic.cold
Cre05.g239750	GMM:14.1	S-assimilation.APS
Cre05.g239067	GMM:25.8	C1-metabolism.tetrahydrofolate synthase
Cre05.g246750		
Cre05.g235450	GMM:29.4.1;GMM:29.4	protein.postranslational modification.kinase;protein.postranslational modification
Cre05.g245900	GMM:26.26.1;GMM:18.4.1;GMM:16.5.1.1.1.1;GMM:13.1.4.1.4	misc.aminotransferases.aminotransferase class IV family protein;Co-factor and vitamine metabolism.pantothenate.branched-chain amino acid aminotransferase;secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.branched-chain amino acid aminotransferase  (BCAT/MAAT);amino acid metabolism.synthesis.branched chain group.common.branched-chain-amino-acid aminotransferase
Cre05.g245351		
Cre05.g234664	GMM:3.5	minor CHO metabolism.others
Cre05.g235102	GMM:20.2.3	stress.abiotic.drought/salt
Cre05.g242850		
Cre05.g236050		
Cre05.g243472		
Cre05.g242180		
Cre05.g245101		
Cre05.g241631		
Cre05.g243900		
Cre05.g233350		
Cre05.g245451	GMM:29.5	protein.degradation
Cre05.g238353		
Cre05.g232000		
Cre05.g247000	GMM:27.3.63	RNA.regulation of transcription.PHD finger transcription factor
Cre05.g248100	GMM:31.1	cell.organisation
Cre05.g235700		
Cre05.g246000		
Cre05.g243801		
Cre05.g231050		
Cre05.g231002		
Cre05.g232350		
Cre05.g234250	GMM:28.2	DNA.repair
Cre05.g234648		
Cre05.g237870		
Cre05.g236501	GMM:11.8.1	"lipid metabolism.exotics (steroids, squalene etc).sphingolipids"
Cre05.g233551	GMM:33.99;GMM:27.3.28	development.unspecified;RNA.regulation of transcription.squamosa promoter binding protein family (SBP)
Cre05.g236926		
Cre05.g235650		
Cre05.g246850		
Cre05.g241751		
Cre05.g242050	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre05.g234660	GMM:27.3.99	RNA.regulation of transcription.unclassified
Cre05.g237150		
Cre05.g242700	GMM:29.5.1	protein.degradation.subtilases
Cre05.g232454		
Cre05.g240850	GMM:18.2	Co-factor and vitamine metabolism.thiamine
Cre05.g238000	GMM:28.2	DNA.repair
Cre05.g237500		
Cre05.g234653		
Cre05.g248200	GMM:11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase
Cre05.g238200		
Cre05.g232305		
Cre05.g248250		
Cre05.g241250		
Cre05.g246600		
Cre05.g240400	GMM:26.6	misc.O-methyl transferases
Cre05.g233100	GMM:31.1	cell.organisation
Cre05.g241647		
Cre05.g244400		
Cre05.g241652		
Cre05.g230650		
Cre05.g234641		
Cre05.g235600		
Cre05.g246300		
Cre05.g241950	GMM:34.9;GMM:34.18	transport.metabolite transporters at the mitochondrial membrane;transport.unspecified anions
Cre05.g234350		
Cre05.g238900	GMM:29.2.2.3.5	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.DExD-box helicases
Cre05.g232455		
Cre05.g241643		
Cre05.g239450		
Cre05.g241639		
Cre05.g245700	GMM:31.1;GMM:29.4	cell.organisation;protein.postranslational modification
Cre05.g239050		
Cre05.g231000		
Cre05.g232850		
Cre05.g247100		
Cre05.g235355		
Cre05.g239200		
Cre05.g239000		
Cre05.g230804		
Cre05.g243950		
Cre05.g234662		
Cre05.g233600	GMM:31.3;GMM:31.2;GMM:29.4	cell.cycle;cell.division;protein.postranslational modification
Cre05.g234667	GMM:31.4	cell.vesicle transport
Cre05.g234400	GMM:34.16	transport.ABC transporters and multidrug resistance systems
Cre05.g238650	GMM:1.5	PS.carbon concentrating mechanism
Cre05.g241100	GMM:34.99	transport.misc
Cre05.g239100	GMM:25.8	C1-metabolism.tetrahydrofolate synthase
Cre05.g236350		
Cre05.g236550		
Cre05.g241632		
Cre05.g242650		
Cre05.g244901		
Cre05.g238301		
Cre05.g241750	GMM:30.1.2	signalling.in sugar and nutrient physiology.pyruvate dehydrogenase kinase
Cre05.g246950		
Cre05.g234636		
Cre05.g245100		
Cre05.g234650		
Cre05.g233750		
Cre05.g236802		
Cre05.g235018		
Cre05.g248700		
Cre05.g247300		
Cre05.g234100	GMM:26.1;GMM:16.1.4.7	misc.misc2;secondary metabolism.isoprenoids.carotenoids.carotenoid epsilon ring hydroxylase
Cre05.g243352		
Cre05.g234850	GMM:29.5.11.5	protein.degradation.ubiquitin.ubiquitin protease
Cre05.g239700		
Cre05.g236375		
Cre05.g241642		
Cre05.g247850		
Cre05.g248450	GMM:8.3	TCA / organic transformation.carbonic anhydrases
Cre05.g242350	GMM:34.21	transport.calcium
Cre05.g237890		
Cre05.g230850		
Cre05.g234649		
Cre05.g237350		
Cre05.g238270		
Cre05.g230600	GMM:31.2;GMM:20.2.5	cell.division;stress.abiotic.light
Cre05.g232003		
Cre05.g238400		
Cre05.g243800	GMM:1.1.1.3;GMM:1.1.1.2	PS.lightreaction.photosystem II.biogenesis;PS.lightreaction.photosystem II.PSII polypeptide subunits
Cre05.g234651	GMM:3.5	minor CHO metabolism.others
Cre05.g236950	GMM:27.3.44	RNA.regulation of transcription.chromatin remodeling factors
Cre05.g240200		
Cre05.g240251		
Cre05.g234976		
Cre05.g234150		
Cre05.g240650	GMM:29.9;GMM:20.2.1	protein.co-chaperones;stress.abiotic.heat
Cre05.g235950		
Cre05.g246752		
Cre05.g238150		
Cre05.g234639	GMM:29.6.2.2;GMM:29.6	protein.folding.chaperones and co-chaperones.HSP60s;protein.folding
Cre05.g244100		
Cre05.g235228		
Cre05.g232050		
Cre05.g236525		
Cre05.g243358		
Cre05.g233300	GMM:26.6;GMM:19.3	misc.O-methyl transferases;tetrapyrrole synthesis.GSA
Cre05.g245350		
Cre05.g244650		
Cre05.g236300		
Cre05.g243602		
Cre05.g244250	GMM:31.6.1.4.2.1	cell.motility.eukaryotes.axonemal dyneins.inner arm.monomeric species
Cre05.g242100	GMM:29.5.1	protein.degradation.subtilases
Cre05.g246900		
Cre05.g241653		
Cre05.g239800	GMM:14.1	S-assimilation.APS
Cre05.g235144		
Cre05.g235400	GMM:27.3.63	RNA.regulation of transcription.PHD finger transcription factor
Cre05.g238052	GMM:31.1	cell.organisation
Cre05.g248000		
Cre05.g236150		
Cre05.g246150	GMM:23.1.2	nucleotide metabolism.synthesis.purine
Cre05.g241635		
Cre05.g234665	GMM:31.4	cell.vesicle transport
Cre05.g232500	GMM:30.99	signalling.unspecified
Cre05.g234654		
Cre05.g232002	GMM:11.9.4.2;GMM:11.9.4	lipid metabolism.lipid degradation.beta-oxidation.acyl CoA DH;lipid metabolism.lipid degradation.beta-oxidation
Cre05.g232400		
Cre05.g234647		
Cre05.g236100		
Cre05.g242000	GMM:19.10;GMM:19.1	tetrapyrrole synthesis.magnesium chelatase;tetrapyrrole synthesis.glu-tRNA synthetase
Cre05.g238343		
Cre05.g234200		
Cre05.g233304	GMM:2.1	major CHO metabolism.synthesis
Cre15.g639000		
Cre15.g636050		
Cre15.g639802		
Cre15.g642702		
Cre15.g637150		
Cre15.g643391		
Cre15.g636600		
Cre15.g634550		
Cre15.g641850		
Cre15.g637700		
Cre15.g637900		
Cre15.g639304		
Cre15.g634913		
Cre15.g644051		
Cre15.g635900		
Cre15.g637216		
Cre15.g643550	GMM:18	Co-factor and vitamine metabolism
Cre15.g638304		
Cre15.g635800	GMM:31.2	cell.division
Cre15.g637249		
Cre15.g643386		
Cre15.g638551		
Cre15.g638300		
Cre15.g637401		
Cre15.g636300	GMM:31.1.1.2;GMM:31.1	cell.organisation.cytoskeleton.mikrotubuli;cell.organisation
Cre15.g636700		
Cre15.g636896	GMM:12.4	N-metabolism.misc
Cre15.g641150		
Cre15.g635993		
Cre15.g643850		
Cre15.g640800		
Cre15.g643740		
Cre15.g640900		
Cre15.g642213		
Cre15.g641500		
Cre15.g643394		
Cre15.g638956		
Cre15.g637750		
Cre15.g639350		
Cre15.g634650		
Cre15.g638150		
Cre15.g636450		
Cre15.g638750		
Cre15.g641750		
Cre15.g643702		
Cre15.g639200		
Cre15.g638450		
Cre15.g638950		
Cre15.g635034		
Cre15.g640502		
Cre15.g638101		
Cre15.g643503		
Cre15.g639136		
Cre15.g639700		
Cre15.g637050		
Cre15.g643393		
Cre15.g635150		
Cre15.g637761	GMM:34.16	transport.ABC transporters and multidrug resistance systems
Cre15.g639650		
Cre15.g643395		
Cre15.g641700		
Cre15.g643704		
Cre15.g634800		
Cre15.g641875		
Cre15.g635700	GMM:30.6;GMM:3.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification.kinase;protein.postranslational modification
Cre15.g639950	GMM:29.4	protein.postranslational modification
Cre15.g643400		
Cre15.g636176		
Cre15.g638100		
Cre15.g636500		
Cre15.g639552		
Cre15.g642875		
Cre15.g641400		
Cre15.g635067		
Cre15.g641100	GMM:29.4	protein.postranslational modification
Cre15.g637315		
Cre15.g635600	GMM:31.99;GMM:29.2.4	cell.unspecified;protein.synthesis.elongation
Cre15.g634582		
Cre15.g642000		
Cre15.g638700		
Cre15.g635450		
Cre15.g635998		
Cre15.g634701	GMM:28.99	DNA.unspecified
Cre15.g639800		
Cre15.g638955		
Cre15.g641600		
Cre15.g641000	GMM:3.5	minor CHO metabolism.others
Cre15.g638651		
Cre15.g639550		
Cre15.g642976	GMM:34.8	transport.metabolite transporters at the envelope membrane
Cre15.g640203		
Cre15.g636075		
Cre15.g643389		
Cre15.g640426		
Cre15.g636840		
Cre15.g640600		
Cre15.g643500		
Cre15.g638401		
Cre15.g642376		
Cre15.g643387		
Cre15.g635950		
Cre15.g634950		
Cre15.g637552		
Cre15.g641926		
Cre15.g640651	GMM:29.4	protein.postranslational modification
Cre15.g639500		
Cre15.g643384		
Cre15.g643517		
Cre15.g641950		
Cre15.g643385	GMM:34.8	transport.metabolite transporters at the envelope membrane
Cre15.g638000		
Cre15.g639614		
Cre15.g641298		
Cre15.g640251		
Cre15.g643028		
Cre15.g643388		
Cre15.g639308		
Cre15.g642950		
Cre15.g639056		
Cre15.g635250		
Cre15.g638050		
Cre15.g640350		
Cre15.g637183		
Cre15.g634500		
Cre15.g635850	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase
Cre15.g641266		
Cre15.g637602		
Cre15.g641674		
Cre15.g637850		
Cre15.g636350		
Cre15.g636650		
Cre15.g639379		
Cre15.g642539		
Cre15.g643050		
Cre15.g643392		
Cre15.g634900		
Cre15.g636250		
Cre15.g641650		
Cre15.g643700	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
Cre15.g641662		
Cre15.g637450		
Cre15.g635650		
Cre15.g636400	GMM:9.1.2;GMM:29.5	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).localisation not clear;protein.degradation
Cre15.g642050		
Cre15.g643191		
Cre15.g640101		
Cre15.g643680		
Cre15.g635376		
Cre15.g637350	GMM:27.1	RNA.processing
Cre15.g634600		
Cre15.g640204		
Cre15.g636750		
Cre15.g634827		
Cre15.g641451		
Cre15.g644050		
Cre15.g643703	GMM:27.4	RNA.RNA binding
Cre15.g639900	GMM:29.4	protein.postranslational modification
Cre15.g636950		
Cre15.g638500	GMM:9.6;GMM:9.5	mitochondrial electron transport / ATP synthesis.cytochrome c;mitochondrial electron transport / ATP synthesis.cytochrome c reductase
Cre15.g639750		
Cre15.g641250	GMM:30.3;GMM:3.3	signalling.calcium;minor CHO metabolism.sugar alcohols
Cre15.g636800		
Cre15.g635200		
Cre15.g640901		
Cre15.g643390		
Cre15.g640150		
Cre15.g641976		
Cre15.g635750		
Cre15.g639504		
Cre15.g636004		
Cre15.g639400	GMM:29.5	protein.degradation
Cre15.g639600		
Cre15.g639850		
Cre15.g639150	GMM:30.3;GMM:3.3	signalling.calcium;minor CHO metabolism.sugar alcohols
Cre15.g635717		
Cre15.g637000		
Cre15.g639503	GMM:29.4.1;GMM:29.4	protein.postranslational modification.kinase;protein.postranslational modification
Cre15.g636550		
Cre15.g641800	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others
Cre15.g635100		
Cre15.g640850		
Cre15.g640200	GMM:27.4	RNA.RNA binding
Cre15.g640650		
Cre15.g643000		
Cre15.g638650		
Cre15.g640152		
Cre15.g637282		
Cre15.g641901		
Cre15.g639134		
Cre15.g641350		
Cre15.g638550		
Cre15.g643354		
Cre15.g643499		
Cre15.g634566		
Cre15.g640100	GMM:29.4	protein.postranslational modification
Cre15.g638954		
Cre15.g643600	GMM:29.8	protein.assembly and cofactor ligation
Cre15.g643515		
Cre15.g640000		
Cre15.g634855		
Cre15.g638303		
Cre15.g637501		
Cre15.g641050		
Cre15.g639100		
Cre15.g640652		
Cre15.g639050		
Cre15.g638400	GMM:20.2.1	stress.abiotic.heat
Cre15.g641200	GMM:9.8;GMM:34.9	mitochondrial electron transport / ATP synthesis.uncoupling protein;transport.metabolite transporters at the mitochondrial membrane
Cre15.g642800		
Cre15.g643750		
Cre15.g641527	GMM:31.1	cell.organisation
Cre15.g641282		
Cre15.g637100	GMM:29.5.11.1;GMM:29.5.11	protein.degradation.ubiquitin.ubiquitin;protein.degradation.ubiquitin
Cre15.g640550		
Cre15.g640750	GMM:29.4	protein.postranslational modification
Cre15.g634750		
Cre15.g634878		
Cre15.g640400		
Cre15.g642865		
Cre15.g634925		
Cre15.g635350	GMM:26.6	misc.O-methyl transferases
Cre15.g640450		
Cre15.g640250		
Cre15.g635300		
Cre15.g636100		
Cre15.g639300		
Cre15.g635400	GMM:31.7.1	cell.development.zygote
Cre15.g635000		
Cre43.g760647		
Cre43.g760497	GMM:29.5.5	protein.degradation.serine protease
Cre43.g760597		
Cre43.g760547		
Cre25.g756247	GMM:20.2.3	stress.abiotic.drought/salt
Cre25.g756447		
Cre25.g756397		
Cre25.g756297		
Cre25.g756497		
Cre25.g756197		
Cre25.g756097		
Cre25.g756347		
Cre25.g756147		
Cre18.g749497	GMM:23.1.2.2	nucleotide metabolism.synthesis.purine.GAR synthetase
Cre18.g748497		
Cre18.g748347		
Cre18.g749647	GMM:23.1.2.2	nucleotide metabolism.synthesis.purine.GAR synthetase
Cre18.g748947	GMM:34.2;GMM:34.11	transport.sugars;transport.NDP-sugars at the ER
Cre18.g749197		
Cre18.g749997		
Cre18.g749297		
Cre18.g749797	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre18.g749097		
Cre18.g748197		
Cre18.g749847	GMM:8.1.1.3	TCA / organic transformation.TCA.pyruvate DH.E3
Cre18.g750047	GMM:31.6.1.8	cell.motility.eukaryotes.flagellar membrane proteins
Cre18.g748797		
Cre18.g749547		
Cre18.g749697	GMM:3.5;GMM:29.7.10	"minor CHO metabolism.others;protein.glycosylation.core alpha-(1,3)-fucosyltransferase (FucT)"
Cre18.g748697		
Cre18.g749397	GMM:13.1.3.6.1.1	amino acid metabolism.synthesis.aspartate family.misc.homoserine.aspartate kinase
Cre18.g748297		
Cre18.g749247		
Cre18.g748397	GMM:1.1.6	PS.lightreaction.NADH DH
Cre18.g749947		
Cre18.g748447	GMM:29.8	protein.assembly and cofactor ligation
Cre18.g748597		
Cre18.g749147		
Cre18.g748247		
Cre18.g748997	GMM:29.7	protein.glycosylation
Cre18.g749747		
Cre18.g748747		
Cre18.g748897	GMM:29.5.7	protein.degradation.metalloprotease
Cre18.g749897		
Cre18.g749597		
Cre18.g748647		
Cre18.g748847		
Cre18.g748147		
Cre18.g749347		
Cre18.g748097		
Cre18.g748547		
Cre18.g749447	GMM:13.1.3.6.1.10;GMM:13.1.3.6.1.1	amino acid metabolism.synthesis.aspartate family.misc.homoserine.bifunctional aspartate kinase/homoserine dehydrogenase;amino acid metabolism.synthesis.aspartate family.misc.homoserine.aspartate kinase
Cre18.g749047		
Cre13.g564550	GMM:27.2	RNA.transcription
Cre13.g590905		
Cre13.g592100	GMM:27.3.63	RNA.regulation of transcription.PHD finger transcription factor
Cre13.g569275		
Cre13.g572150	GMM:26.24	misc.GCN5-related N-acetyltransferase
Cre13.g582000		
Cre13.g605350		
Cre13.g589550		
Cre13.g588350		
Cre13.g587550	GMM:30.99	signalling.unspecified
Cre13.g586916	GMM:27.1.1	RNA.processing.splicing
Cre13.g565321	GMM:23.1.2.8	nucleotide metabolism.synthesis.purine.SAICAR lyase
Cre13.g572650		
Cre13.g602800		
Cre13.g583350		
Cre13.g566400		
Cre13.g571251		
Cre13.g579700		
Cre13.g571450	GMM:21.2	redox.ascorbate and glutathione
Cre13.g602550		
Cre13.g583750		
Cre13.g590750	GMM:28.1.3.2.2;GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2B;DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre13.g584135		
Cre13.g564650	GMM:34.14	transport.unspecified cations
Cre13.g588900	GMM:28.99	DNA.unspecified
Cre13.g578074	GMM:27.3.99	RNA.regulation of transcription.unclassified
Cre13.g570400		
Cre13.g578800		
Cre13.g563700		
Cre13.g581050		
Cre13.g604400		
Cre13.g568250		
Cre13.g580600	GMM:29.1.19	protein.aa activation.arginine-tRNA ligase
Cre13.g602700	GMM:33.99;GMM:30.11	development.unspecified;signalling.light
Cre13.g589167		
Cre13.g587400		
Cre13.g582250		
Cre13.g573200		
Cre13.g568800	GMM:9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I
Cre13.g602300		
Cre13.g589940		
Cre13.g572600		
Cre13.g576740		
Cre13.g600238		
Cre13.g572950	GMM:31.2;GMM:27.3.18	cell.division;RNA.regulation of transcription.E2F/DP transcription factor family
Cre13.g607450	GMM:3.5	minor CHO metabolism.others
Cre13.g570450		
Cre13.g576350	GMM:29.6.1	protein.folding.prefoldin and trigger factor
Cre13.g567600	GMM:9.7	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase
Cre13.g568050	GMM:29.4.1;GMM:29.4	protein.postranslational modification.kinase;protein.postranslational modification
Cre13.g604850		
Cre13.g573750		
Cre13.g581750		
Cre13.g588050		
Cre13.g585175		
Cre13.g574800	GMM:21.2	redox.ascorbate and glutathione
Cre13.g578350	GMM:26.13	misc.acid and other phosphatases
Cre13.g583000		
Cre13.g563550	GMM:3.4.5;GMM:3.4.1;GMM:28.1	minor CHO metabolism.myo-inositol.inositol phosphatase;minor CHO metabolism.myo-inositol.poly-phosphatases;DNA.synthesis/chromatin structure
Cre13.g606050	GMM:29.1.1	protein.aa activation.tyrosine-tRNA ligase
Cre13.g578850	GMM:31.6.1.11	cell.motility.eukaryotes.other
Cre13.g603176		
Cre13.g607550		
Cre13.g575800		
Cre13.g579500	GMM:11.9.2	lipid metabolism.lipid degradation.lipases
Cre13.g565000		
Cre13.g607500	GMM:28.2	DNA.repair
Cre13.g566000	GMM:25.8;GMM:25.2;GMM:25	C1-metabolism.tetrahydrofolate synthase;C1-metabolism.formate-tetrahydrofolate ligase;C1-metabolism
Cre13.g569350	GMM:26.11.1;GMM:26.11;GMM:16.8.3.1	misc.alcohol dehydrogenases.cinnamyl alcohol dehydrogenase;misc.alcohol dehydrogenases;secondary metabolism.flavonoids.dihydroflavonols.dihydroflavonol 4-reductase
Cre13.g591650		
Cre13.g607750		
Cre13.g583972		
Cre13.g603900	GMM:29.1.20	protein.aa activation.phenylalanine-tRNA ligase
Cre13.g590300	GMM:23.3.2.2	nucleotide metabolism.salvage.nucleoside kinases.uridine kinase
Cre13.g580300	GMM:34.16	transport.ABC transporters and multidrug resistance systems
Cre13.g579767		
Cre13.g583600	GMM:11.10.2	lipid metabolism.glycolipid synthesis.DGDG synthase
Cre13.g572500	GMM:18.4.5;GMM:18.4.1	Co-factor and vitamine metabolism.pantothenate.pantothenate kinase (PANK);Co-factor and vitamine metabolism.pantothenate.branched-chain amino acid aminotransferase
Cre13.g602950		
Cre13.g606150		
Cre13.g581200		
Cre13.g591800		
Cre13.g575000	GMM:9.6	mitochondrial electron transport / ATP synthesis.cytochrome c
Cre13.g567750	GMM:27.1.1	RNA.processing.splicing
Cre13.g606652		
Cre13.g565116		
Cre13.g588550	GMM:31.4	cell.vesicle transport
Cre13.g571650	GMM:27.2	RNA.transcription
Cre13.g566850		
Cre13.g586883		
Cre13.g575600		
Cre13.g581500		
Cre13.g562100		
Cre13.g606800		
Cre13.g590251		
Cre13.g565700		
Cre13.g581900		
Cre13.g581400	GMM:34.99;GMM:34.9;GMM:34.8	transport.misc;transport.metabolite transporters at the mitochondrial membrane;transport.metabolite transporters at the envelope membrane
Cre13.g577600		
Cre13.g580150	GMM:34.12	transport.metal
Cre13.g563876		
Cre13.g588100	GMM:31.3.1;GMM:29.6.3.2	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).cyclophilins
Cre13.g605250		
Cre13.g564583		
Cre13.g567550	GMM:29.4.1;GMM:29.4	protein.postranslational modification.kinase;protein.postranslational modification
Cre13.g569550	GMM:30.2.11	signalling.receptor kinases.leucine rich repeat XI
Cre13.g584170		
Cre13.g572200	GMM:34.3	transport.amino acids
Cre13.g569250		
Cre13.g571902		
Cre13.g567800	GMM:29.4	protein.postranslational modification
Cre13.g586650	GMM:30.99	signalling.unspecified
Cre13.g564700		
Cre13.g563733	GMM:30.6;GMM:29.4.1	signalling.MAP kinases;protein.postranslational modification.kinase
Cre13.g591550	GMM:27.4	RNA.RNA binding
Cre13.g564400		
Cre13.g584600		
Cre13.g568950		
Cre13.g604800		
Cre13.g607950		
Cre13.g588750		
Cre13.g576720		
Cre13.g571300		
Cre13.g583325		
Cre13.g579582	GMM:2.1.2.2	major CHO metabolism.synthesis.starch.starch synthase
Cre13.g567700	GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre13.g590800	GMM:28.1.3.2.1;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H2A;DNA.synthesis/chromatin structure.histone
Cre13.g587600		
Cre13.g566951		
Cre13.g589300	GMM:28.1	DNA.synthesis/chromatin structure
Cre13.g592550		
Cre13.g581450	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
Cre13.g582713	GMM:3.6;GMM:29.4	minor CHO metabolism.callose;protein.postranslational modification
Cre13.g574650		
Cre13.g570350	GMM:35.1.1;GMM:34.16;GMM:20.2	not assigned.no ontology.ABC1 family protein;transport.ABC transporters and multidrug resistance systems;stress.abiotic
Cre13.g571500		
Cre13.g577250	GMM:24	biodegradation of xenobiotics
Cre13.g572450		
Cre13.g580650	GMM:29.4	protein.postranslational modification
Cre13.g577750		
Cre13.g582050		
Cre13.g607150	GMM:23.1.2	nucleotide metabolism.synthesis.purine
Cre13.g568850	GMM:29.8;GMM:18.7	protein.assembly and cofactor ligation;Co-factor and vitamine metabolism.iron-sulphur clusters
Cre13.g605750		
Cre13.g581100		
Cre13.g574250	GMM:29.4	protein.postranslational modification
Cre13.g582270	GMM:2.2.1.3.2	major CHO metabolism.degradation.sucrose.invertases.cell wall
Cre13.g576400	GMM:26.26.1	misc.aminotransferases.aminotransferase class IV family protein
Cre13.g592150	GMM:29.2.3;GMM:27.1.2	protein.synthesis.initiation;RNA.processing.RNA helicase
Cre13.g583700		
Cre13.g604350	GMM:30.6;GMM:29.4	signalling.MAP kinases;protein.postranslational modification
Cre13.g582290		
Cre13.g589870		
Cre13.g577900		
Cre13.g561900	GMM:27.1.19	RNA.processing.ribonucleases
Cre13.g573150	GMM:29.5.3	protein.degradation.cysteine protease
Cre13.g569700		
Cre13.g583550	GMM:27.3.99;GMM:1.1.99	RNA.regulation of transcription.unclassified;PS.lightreaction.unspecified
Cre13.g593833		
Cre13.g606500		
Cre13.g582950		
Cre13.g585026		
Cre13.g585200		
Cre13.g590225		
Cre13.g589800	GMM:34.14	transport.unspecified cations
Cre13.g586700	GMM:30.99	signalling.unspecified
Cre13.g574400	GMM:23.1.2	nucleotide metabolism.synthesis.purine
Cre13.g584950		
Cre13.g570500	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
Cre13.g566700	GMM:27.1.1	RNA.processing.splicing
Cre13.g589000		
Cre13.g565950	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
Cre13.g579800	GMM:23.4.99;GMM:13.1.2.3.2	nucleotide metabolism.phosphotransfer and pyrophosphatases.misc;amino acid metabolism.synthesis.glutamate family.arginine.acetylglutamate kinase
Cre13.g575050		
Cre13.g586150		
Cre13.g574100		
Cre13.g602425		
Cre13.g575650	GMM:29.4.1;GMM:29.4	protein.postranslational modification.kinase;protein.postranslational modification
Cre13.g605368		
Cre13.g562950	GMM:31.2;GMM:29.5.11.4.4	cell.division;protein.degradation.ubiquitin.E3.APC
Cre13.g567300		
Cre13.g581801		
Cre13.g591750		
Cre13.g561950		
Cre13.g562350		
Cre13.g578900		
Cre13.g592350		
Cre13.g565750	GMM:29.2.4	protein.synthesis.elongation
Cre13.g562700	GMM:3.3	minor CHO metabolism.sugar alcohols
Cre13.g588271		
Cre13.g584775		
Cre13.g588501		
Cre13.g569950	GMM:28.1.3.2.3;GMM:28.1.3	DNA.synthesis/chromatin structure.histone.core.H3;DNA.synthesis/chromatin structure.histone
Cre13.g570951		
Cre13.g576050	GMM:34.12	transport.metal
Cre13.g563900		
Cre13.g603450		
Cre13.g566050	GMM:27.1	RNA.processing
Cre13.g588368		
Cre13.g581150		
Cre13.g564350	GMM:29.4.1;GMM:28.2	protein.postranslational modification.kinase;DNA.repair
Cre13.g563500		
Cre13.g587200	GMM:29.5.11.4.2;GMM:20.1	protein.degradation.ubiquitin.E3.RING;stress.biotic
Cre13.g591600	GMM:23.1.2	nucleotide metabolism.synthesis.purine
Cre13.g562062		
Cre13.g570801		
Cre13.g584250		
Cre13.g607600	GMM:18.3	Co-factor and vitamine metabolism.riboflavin
Cre13.g603950	GMM:29.6.3.2	protein.folding.immunophilins (IMM).cyclophilins
