Identifier	MapMan	MapManDescription	Localization	GO	GODescription	Synonym
Cre03.g156700	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Mitochondrion			FAP185
Cre03.g176833	GMM:31.1.1.1.1;GMM:31.1	cell.organisation.cytoskeleton.actin.Actin;cell.organisation	Chloroplast			NAP1
Cre03.g186750			Mitochondrion			
Cre03.g166350						
Cre03.g152701			Mitochondrion			
Cre03.g194050						
Cre03.g204800	GMM:34.18.1	transport.unspecified anions.arsenite-transporting ATPase		GO:0016887;GO:0005524	ATPase activity;ATP binding	RTA2
Cre03.g181100						
Cre03.g144164	GMM:29.5.7	protein.degradation.metalloprotease	Chloroplast	GO:0006508;GO:0004222	proteolysis;metalloendopeptidase activity	RSEP2
Cre03.g173650						
Cre03.g143967						
Cre03.g165650				GO:0006888;GO:0005801;GO:0005622	ER to Golgi vesicle-mediated transport;cis-Golgi network;intracellular	
Cre03.g206650	GMM:29.4.1	protein.postranslational modification.kinase		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g212193						
Cre03.g181800			Secretory pathway			
Cre03.g202561						
Cre03.g145827	GMM:29.5.1	protein.degradation.subtilases		GO:0006508;GO:0004252	proteolysis;serine-type endopeptidase activity	sub3
Cre03.g202113	GMM:23.1.2.7	nucleotide metabolism.synthesis.purine.SAICAR synthetase	Chloroplast			
Cre03.g176300			Chloroplast			
Cre03.g165976						
Cre03.g153250						
Cre03.g190800	GMM:23.4.4	nucleotide metabolism.phosphotransfer and pyrophosphatases.thymidylate kinase				TMPK
Cre03.g190281						
Cre03.g201150						
Cre03.g193950	GMM:21.1	redox.thioredoxin	Chloroplast	GO:0055114;GO:0016730	"oxidation-reduction process;oxidoreductase activity, acting on iron-sulfur proteins as donors"	
Cre03.g198050			Mitochondrion			
Cre03.g144284	GMM:29.5.11.4.5.2	protein.degradation.ubiquitin.E3.BTB/POZ Cullin3.BTB/POZ		GO:0005515	protein binding	CGL110
Cre03.g186650						
Cre03.g187976						
Cre03.g165000	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others		GO:0005525	GTP binding	
Cre03.g196900	GMM:31.4;GMM:29.3.4.1;GMM:28.99	cell.vesicle transport;protein.targeting.secretory pathway.ER;DNA.unspecified		GO:0005789	endoplasmic reticulum membrane	
Cre03.g145787	GMM:29.6.2.1	protein.folding.chaperones and co-chaperones.small HSPs	Mitochondrion			HSP22C
Cre03.g205150			Secretory pathway			
Cre03.g202100	GMM:27.3.46	RNA.regulation of transcription.DNA methyltransferases	Chloroplast			OPR18
Cre03.g169250						
Cre03.g188900			Secretory pathway			
Cre03.g200655	GMM:29.5.5	protein.degradation.serine protease	Mitochondrion	GO:0005975;GO:0004553	"carbohydrate metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds"	DEG4
Cre03.g180550				GO:0016787;GO:0009166	hydrolase activity;nucleotide catabolic process	FPN2
Cre03.g192676						
Cre03.g163450			Chloroplast			
Cre03.g191950	GMM:27.1	RNA.processing	Chloroplast	GO:0006364	rRNA processing	CGLD31
Cre03.g193550			Mitochondrion			MRPL46
Cre03.g171650	GMM:28.99;GMM:28.1	DNA.unspecified;DNA.synthesis/chromatin structure		GO:0005524;GO:0004386;GO:0003676	ATP binding;helicase activity;nucleic acid binding	HEL16
Cre03.g157800	GMM:21.1	redox.thioredoxin	Mitochondrion	GO:0045454;GO:0015035;GO:0006662	cell redox homeostasis;protein disulfide oxidoreductase activity;glycerol ether metabolic process	TRX2
Cre03.g174700			Chloroplast	GO:0006259;GO:0004531	DNA metabolic process;deoxyribonuclease II activity	
Cre03.g145347			Chloroplast			
Cre03.g190400						
Cre03.g196700			Secretory pathway	GO:0016021	integral component of membrane	
Cre03.g164800	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g144907	GMM:27.3.25	RNA.regulation of transcription.MYB domain transcription factor family		GO:0043968;GO:0043967;GO:0035267;GO:0006338;GO:0006281	histone H2A acetylation;histone H4 acetylation;NuA4 histone acetyltransferase complex;chromatin remodeling;DNA repair	
Cre03.g208833	GMM:28.1	DNA.synthesis/chromatin structure		GO:0016787;GO:0005524;GO:0003677	hydrolase activity;ATP binding;DNA binding	
Cre03.g194616			Mitochondrion			
Cre03.g191700			Mitochondrion			
Cre03.g195000			Chloroplast			
Cre03.g194650	GMM:33.99;GMM:33.2	development.unspecified;development.late embryogenesis abundant				FAP121
Cre03.g202700						
Cre03.g182300	GMM:4.3.12;GMM:4.1.12	glycolysis.unclear/dually targeted.phosphoglycerate mutase;glycolysis.cytosolic branch.phosphoglycerate mutase	Chloroplast			PGM7
Cre03.g162950						
Cre03.g208049			Chloroplast			
Cre03.g145027			Mitochondrion			
Cre03.g198651			Mitochondrion			
Cre03.g200319						
Cre03.g191776			Chloroplast			
Cre03.g196200			Secretory pathway			
Cre03.g176050						
Cre03.g170850	GMM:29.5.7	protein.degradation.metalloprotease	Secretory pathway			MMP19
Cre03.g179860				GO:0008168	methyltransferase activity	
Cre03.g195050	GMM:3.5	minor CHO metabolism.others	Secretory pathway			
Cre03.g191250			Chloroplast			LCI34
Cre03.g183700	GMM:3.6	minor CHO metabolism.callose		GO:0016020;GO:0006075;GO:0003843;GO:0000148	"membrane;(1->3)-beta-D-glucan biosynthetic process;1,3-beta-D-glucan synthase activity;1,3-beta-D-glucan synthase complex"	GSL3
Cre03.g157564						
Cre03.g144584			Mitochondrion			
Cre03.g169500	GMM:31.3;GMM:31.2;GMM:30.6;GMM:29.4.1;GMM:29.4	cell.cycle;cell.division;signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g158464						
Cre03.g156300						FAP405
Cre03.g201600						
Cre03.g195100			Mitochondrion			
Cre03.g144344	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	Secretory pathway	GO:0016567;GO:0004842	protein ubiquitination;ubiquitin-protein transferase activity	
Cre03.g157350						
Cre03.g201552	GMM:29.5.7	protein.degradation.metalloprotease	Secretory pathway			MMP8
Cre03.g192201			Secretory pathway			PHC51
Cre03.g175851	GMM:28.1	DNA.synthesis/chromatin structure	Chloroplast			
Cre03.g208552						
Cre03.g144244	GMM:28.1	DNA.synthesis/chromatin structure	Chloroplast	GO:0006281;GO:0005524;GO:0004386;GO:0003678;GO:0000723	DNA repair;ATP binding;helicase activity;DNA helicase activity;telomere maintenance	
Cre03.g180100			Chloroplast	GO:0016799;GO:0006281	"hydrolase activity, hydrolyzing N-glycosyl compounds;DNA repair"	UNG2
Cre03.g206817			Secretory pathway			
Cre03.g189200				GO:0009235	cobalamin metabolic process	
Cre03.g157900						
Cre03.g167000	GMM:29.5.11.3	protein.degradation.ubiquitin.E2		GO:0019789	SUMO transferase activity	UBC3
Cre03.g205300			Mitochondrion	GO:0008408;GO:0006139;GO:0003676	3'-5' exonuclease activity;nucleobase-containing compound metabolic process;nucleic acid binding	EXN7
Cre03.g157475						
Cre03.g184450	GMM:4.1.16;GMM:30.3;GMM:29.4.1;GMM:29.4	glycolysis.cytosolic branch.phosphoenolpyruvate carboxykinase (PEPCK);signalling.calcium;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre03.g150600	GMM:34.16	transport.ABC transporters and multidrug resistance systems	Secretory pathway			
Cre03.g155550			Chloroplast			DNJ18
Cre03.g164900	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g204752	GMM:27.1	RNA.processing	Mitochondrion			
Cre03.g177200	GMM:27.4	RNA.RNA binding		GO:0003676	nucleic acid binding	CRB3
Cre03.g199450			Chloroplast			MINE2
Cre03.g161350			Secretory pathway			
Cre03.g213313	GMM:11.1.4	lipid metabolism.FA synthesis and FA elongation.ACP oxoacyl reductase	Mitochondrion			
Cre03.g166100						
Cre03.g181650				GO:0030915;GO:0006281	Smc5-Smc6 complex;DNA repair	
Cre03.g188200	GMM:27.1.19	RNA.processing.ribonucleases				RPH2
Cre03.g150850	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	Mitochondrion	GO:0016567;GO:0004842	protein ubiquitination;ubiquitin-protein transferase activity	
Cre03.g194200	GMM:8.1.1.1;GMM:11.1.31	TCA / organic transformation.TCA.pyruvate DH.E1;lipid metabolism.FA synthesis and FA elongation.pyruvate DH	Chloroplast	GO:0008152;GO:0003824	metabolic process;catalytic activity	PDH2
Cre03.g187100						
Cre03.g169900			Chloroplast			
Cre03.g146767	GMM:24	biodegradation of xenobiotics	Secretory pathway			GOX11
Cre03.g168400						
Cre03.g192900						OPR17
Cre03.g202001			Secretory pathway			
Cre03.g209841			Chloroplast			
Cre03.g169700	GMM:27.1	RNA.processing	Chloroplast	GO:0008173;GO:0006396;GO:0003723	RNA methyltransferase activity;RNA processing;RNA binding	tmg11
Cre03.g201850	GMM:31.6.1.5.1;GMM:28.2;GMM:27.3.44	cell.motility.eukaryotes.radial spoke.head;DNA.repair;RNA.regulation of transcription.chromatin remodeling factors	Chloroplast	GO:0016787;GO:0005524;GO:0003677	hydrolase activity;ATP binding;DNA binding	
Cre03.g208300	GMM:27.3.63	RNA.regulation of transcription.PHD finger transcription factor				
Cre03.g155350				GO:0055114;GO:0010181;GO:0004733	oxidation-reduction process;FMN binding;pyridoxamine-phosphate oxidase activity	
Cre03.g200350			Chloroplast	GO:0008168;GO:0008152	methyltransferase activity;metabolic process	
Cre03.g182700				GO:0008270;GO:0005622	zinc ion binding;intracellular	
Cre03.g144524	GMM:11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase		GO:0006629	lipid metabolic process	
Cre03.g180200				GO:0005515	protein binding	
Cre03.g146127						FAP96
Cre03.g150000						
Cre03.g195450	GMM:31.6.1.1	cell.motility.eukaryotes.basal bodies				POC11
Cre03.g192350			Secretory pathway	GO:0005515	protein binding	
Cre03.g204689	GMM:30.1.1	signalling.in sugar and nutrient physiology.misc	Secretory pathway	GO:0007165;GO:0004114	"signal transduction;3',5'-cyclic-nucleotide phosphodiesterase activity"	PDE21
Cre03.g197900			Secretory pathway			
Cre03.g183800						
Cre03.g167924	GMM:29.4	protein.postranslational modification				
Cre03.g156350			Mitochondrion			OPR15
Cre03.g150101						NRT2.4
Cre03.g204465			Secretory pathway			
Cre03.g211073	GMM:29.4;GMM:17.1.3;GMM:17.1.2	protein.postranslational modification;hormone metabolism.abscisic acid.induced-regulated-responsive-activated;hormone metabolism.abscisic acid.signal transduction		GO:0006470;GO:0004722;GO:0003824	protein dephosphorylation;protein serine/threonine phosphatase activity;catalytic activity	
Cre03.g196550						
Cre03.g173165				GO:0005515	protein binding	
Cre03.g152326						
Cre03.g182850			Secretory pathway			
Cre03.g150750						
Cre03.g152050	GMM:24	biodegradation of xenobiotics	Secretory pathway			GOX12
Cre03.g186050						
Cre03.g199700						PGM11
Cre03.g146887						
Cre03.g203100						
Cre03.g165700	GMM:5.2	fermentation.PDC		GO:0030976;GO:0003824;GO:0000287	thiamine pyrophosphate binding;catalytic activity;magnesium ion binding	PDC3
Cre03.g160300				GO:0005783	endoplasmic reticulum	RAMP4
Cre03.g162450	GMM:34.99	transport.misc		GO:0016021;GO:0006810	integral component of membrane;transport	
Cre03.g208303	GMM:20.2.3	stress.abiotic.drought/salt				
Cre03.g169200	GMM:23	nucleotide metabolism				
Cre03.g201100	GMM:29.5.9;GMM:29.5.7	protein.degradation.AAA type;protein.degradation.metalloprotease	Chloroplast	GO:0005524	ATP binding	FHL1
Cre03.g157501						
Cre03.g191100			Secretory pathway			
Cre03.g170200	GMM:33.99;GMM:30.3;GMM:3.3	development.unspecified;signalling.calcium;minor CHO metabolism.sugar alcohols		GO:0005515	protein binding	
Cre03.g155250			Mitochondrion			
Cre03.g202050						
Cre03.g164750			Secretory pathway			
Cre03.g199311	GMM:29.3.4.3	protein.targeting.secretory pathway.vacuole		GO:0007033;GO:0006886;GO:0005737	vacuole organization;intracellular protein transport;cytoplasm	VPS16
Cre03.g159550						
Cre03.g143807						
Cre03.g191550			Mitochondrion			
Cre03.g201417						
Cre03.g200543	GMM:34.9	transport.metabolite transporters at the mitochondrial membrane				MCP15
Cre03.g180700						
Cre03.g146567						
Cre03.g204400	GMM:27.3.99	RNA.regulation of transcription.unclassified		GO:0016021;GO:0004252	integral component of membrane;serine-type endopeptidase activity	
Cre03.g179880			Mitochondrion			
Cre03.g200000						
Cre03.g206087			Mitochondrion			
Cre03.g195700	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others	Mitochondrion			
Cre03.g154225			Chloroplast			
Cre03.g151200			Chloroplast			CGLD16
Cre03.g183750			Chloroplast			OPR16
Cre03.g163000	GMM:31.6.1.1	cell.motility.eukaryotes.basal bodies				POC5
Cre03.g169450			Chloroplast			
Cre03.g165600			Secretory pathway			
Cre03.g182000						
Cre03.g202650	GMM:11.9.3.2	lipid metabolism.lipid degradation.lysophospholipases.carboxylesterase	Secretory pathway			
Cre03.g154300						
Cre03.g176700			Mitochondrion			CPL4
Cre03.g151750	GMM:27.1	RNA.processing				SMP6A
Cre03.g170625			Chloroplast			
Cre03.g206452						
Cre03.g145387						FAP239
Cre03.g157300	GMM:27.2;GMM:27.1.19	RNA.transcription;RNA.processing.ribonucleases		GO:0005634	nucleus	CAF1
Cre03.g184250	GMM:3.3	minor CHO metabolism.sugar alcohols	Mitochondrion			CAM9
Cre03.g145167	GMM:30.2.17	signalling.receptor kinases.DUF 26				
Cre03.g148300			Mitochondrion			
Cre03.g177650						
Cre03.g199652			Chloroplast			
Cre03.g191300			Chloroplast			LCI35
Cre03.g174076						
Cre03.g168800	GMM:31.1	cell.organisation	Chloroplast	GO:0008017;GO:0007018;GO:0005871;GO:0005524;GO:0003777	microtubule binding;microtubule-based movement;kinesin complex;ATP binding;microtubule motor activity	KIN4-1
Cre03.g182350				GO:0006397;GO:0000445	mRNA processing;THO complex part of transcription export complex	
Cre03.g199100						
Cre03.g205800				GO:0005515;GO:0005096	protein binding;GTPase activator activity	
Cre03.g145287						
Cre03.g162400			Mitochondrion			
Cre03.g162250				GO:0006281;GO:0005634	DNA repair;nucleus	CGL35
Cre03.g170600						POC4
Cre03.g144767						
Cre03.g173100	GMM:26.3.4	"misc.gluco-, galacto- and mannosidases.endoglucanase"	Chloroplast	GO:0005975;GO:0004553	"carbohydrate metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds"	
Cre03.g166700	GMM:31.1	cell.organisation	Chloroplast			FOR1
Cre03.g145487				GO:0008270;GO:0005515	zinc ion binding;protein binding	
Cre03.g200095	GMM:29.2.2.3.5;GMM:28.1;GMM:27.1.2;GMM:27.1;GMM:17.5.3	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.DExD-box helicases;DNA.synthesis/chromatin structure;RNA.processing.RNA helicase;RNA.processing;hormone metabolism.ethylene.induced-regulated-responsive-activated	Chloroplast	GO:0005524;GO:0003676	ATP binding;nucleic acid binding	
Cre03.g194600			Mitochondrion	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g143707			Secretory pathway			
Cre03.g145547	GMM:21.99;GMM:12.1.1	redox.misc;N-metabolism.nitrate metabolism.NR	Secretory pathway	GO:0055114;GO:0016491	oxidation-reduction process;oxidoreductase activity	CBR1
Cre03.g171050	GMM:26.3;GMM:20.1;GMM:16.5.1.3.1	"misc.gluco-, galacto- and mannosidases;stress.biotic;secondary metabolism.sulfur-containing.glucosinolates.degradation.myrosinase"		GO:0005975;GO:0004553	"carbohydrate metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds"	GHL1
Cre03.g145867			Mitochondrion			
Cre03.g145687	GMM:28.2;GMM:28.1	DNA.repair;DNA.synthesis/chromatin structure		GO:0006281;GO:0004518	DNA repair;nuclease activity	
Cre03.g185000	GMM:3.6	minor CHO metabolism.callose		GO:0016020;GO:0006075;GO:0003843;GO:0000148	"membrane;(1->3)-beta-D-glucan biosynthetic process;1,3-beta-D-glucan synthase activity;1,3-beta-D-glucan synthase complex"	CALS2
Cre03.g154000			Mitochondrion			
Cre03.g188600	GMM:29.5	protein.degradation		GO:0016021;GO:0006508;GO:0004252	integral component of membrane;proteolysis;serine-type endopeptidase activity	RBL11
Cre03.g187750			Chloroplast			
Cre03.g170450						
Cre03.g145647						
Cre03.g145047						
Cre03.g172550	GMM:31.3;GMM:26.6	cell.cycle;misc.O-methyl transferases		GO:0008168;GO:0006479	methyltransferase activity;protein methylation	PRMT1
Cre03.g159851			Chloroplast			
Cre03.g181000			Secretory pathway	GO:0016021;GO:0008146	integral component of membrane;sulfotransferase activity	
Cre03.g203750	GMM:29.3.4.2	protein.targeting.secretory pathway.golgi	Chloroplast	GO:0016020;GO:0006886;GO:0005801	membrane;intracellular protein transport;cis-Golgi network	COG3
Cre03.g160150						
Cre03.g174000	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others	Mitochondrion			EFG11
Cre03.g146507	GMM:11.8.1.2;GMM:11.8.1	"lipid metabolism.exotics (steroids, squalene etc).sphingolipids.serine C-palmitoyltransferase;lipid metabolism.exotics (steroids, squalene etc).sphingolipids"	Secretory pathway	GO:0030170;GO:0009058	pyridoxal phosphate binding;biosynthetic process	SPT2
Cre03.g145267	GMM:23.2.2.10	nucleotide metabolism.degradation.purine.guanine deaminase		GO:0008892;GO:0008270;GO:0006147	guanine deaminase activity;zinc ion binding;guanine catabolic process	
Cre03.g178550	GMM:33.99;GMM:31.2;GMM:29.5.11.4.2	development.unspecified;cell.division;protein.degradation.ubiquitin.E3.RING	Mitochondrion	GO:0016567;GO:0005515;GO:0004842	protein ubiquitination;protein binding;ubiquitin-protein transferase activity	
Cre03.g160800	GMM:34.12	transport.metal	Mitochondrion	GO:0055085;GO:0016021;GO:0008324;GO:0006812	transmembrane transport;integral component of membrane;cation transmembrane transporter activity;cation transport	MTP2
Cre03.g193450			Mitochondrion	GO:0005515	protein binding	
Cre03.g211409			Mitochondrion			
Cre03.g199000	GMM:30.11;GMM:29.4	signalling.light;protein.postranslational modification	Chloroplast	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	PHOT1
Cre03.g173400	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others		GO:0005525;GO:0003924	GTP binding;GTPase activity	
Cre03.g166450			Mitochondrion			
Cre03.g176400	GMM:30.6;GMM:29.4	signalling.MAP kinases;protein.postranslational modification	Mitochondrion	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre03.g193850	GMM:8.1.6	TCA / organic transformation.TCA.succinyl-CoA ligase	Mitochondrion	GO:0048037;GO:0008152;GO:0003824	cofactor binding;metabolic process;catalytic activity	SCLA1
Cre03.g174750	GMM:31.3.1;GMM:29.6.3.2	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).cyclophilins	Chloroplast	GO:0006457;GO:0003755;GO:0000413	protein folding;peptidyl-prolyl cis-trans isomerase activity;protein peptidyl-prolyl isomerization	CYN26-2
Cre03.g163550						
Cre03.g204850			Chloroplast			
Cre03.g200650			Secretory pathway	GO:0005975;GO:0004553	"carbohydrate metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds"	CHI2
Cre03.g170950						
Cre03.g173900	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	Chloroplast			
Cre03.g189700			Chloroplast			
Cre03.g171300	GMM:1.2.2	PS.photorespiration.glycolate oxydase		GO:0016491	oxidoreductase activity	GYX1
Cre03.g213537	GMM:27.3.67;GMM:27.3.50	RNA.regulation of transcription.putative transcription regulator;RNA.regulation of transcription.general transcription	Chloroplast			
Cre03.g207601			Chloroplast	GO:0005515	protein binding	
Cre03.g169000						
Cre03.g154550	GMM:13.2.2.3;GMM:13.1.2.2.2	amino acid metabolism.degradation.glutamate family.arginine;amino acid metabolism.synthesis.glutamate family.proline.pyrroline-5-carboxylate reductase	Chloroplast	GO:0055114;GO:0006561;GO:0004735	oxidation-reduction process;proline biosynthetic process;pyrroline-5-carboxylate reductase activity	PCR1
Cre03.g149350	GMM:27.3.60	RNA.regulation of transcription.NIN-like bZIP-related family				RWP4
Cre03.g186150						
Cre03.g201950	GMM:29.5.7	protein.degradation.metalloprotease	Chloroplast			
Cre03.g145747	GMM:13.1.6.1.7	amino acid metabolism.synthesis.aromatic aa.chorismate.chorismate synthase	Chloroplast	GO:0009073;GO:0004107	aromatic amino acid family biosynthetic process;chorismate synthase activity	
Cre03.g185150						
Cre03.g144011	GMM:30.6;GMM:30.2.99;GMM:30.2.20;GMM:30.2.10;GMM:30.2.1;GMM:29.4	signalling.MAP kinases;signalling.receptor kinases.misc;signalling.receptor kinases.wheat LRK10 like;signalling.receptor kinases.leucine rich repeat X;signalling.receptor kinases.leucine rich repeat I;protein.postranslational modification	Mitochondrion	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g158550	GMM:28.99;GMM:28.1;GMM:27.3.44	DNA.unspecified;DNA.synthesis/chromatin structure;RNA.regulation of transcription.chromatin remodeling factors		GO:0006338;GO:0006281;GO:0005524;GO:0004003	chromatin remodeling;DNA repair;ATP binding;ATP-dependent DNA helicase activity	
Cre03.g145507			Chloroplast			
Cre03.g188550	GMM:29.2.2.3.1;GMM:29.2.2.2.1;GMM:28.1;GMM:27.1.2	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.snoRNPs;protein.synthesis.ribosome biogenesis.assembly factors.DExD-box helicases;DNA.synthesis/chromatin structure;RNA.processing.RNA helicase		GO:0005524;GO:0003676	ATP binding;nucleic acid binding	HEL20
Cre03.g145927			Chloroplast			
Cre03.g173600				GO:0005515	protein binding	
Cre03.g167300						
Cre03.g186550			Mitochondrion			
Cre03.g144887			Chloroplast	GO:0005515	protein binding	
Cre03.g179250	GMM:27.3.60	RNA.regulation of transcription.NIN-like bZIP-related family	Chloroplast			
Cre03.g159016	GMM:30.6;GMM:29.4	signalling.MAP kinases;protein.postranslational modification	Secretory pathway	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g186300	GMM:31.6.1.4.2.1	cell.motility.eukaryotes.axonemal dyneins.inner arm.monomeric species				DII2
Cre03.g149300	GMM:18.7;GMM:15.2	"Co-factor and vitamine metabolism.iron-sulphur clusters;metal handling.binding, chelation and storage"		GO:0051539;GO:0051536;GO:0009451;GO:0003824	"4 iron, 4 sulfur cluster binding;iron-sulfur cluster binding;RNA modification;catalytic activity"	
Cre03.g185750				GO:0016567;GO:0004842	protein ubiquitination;ubiquitin-protein transferase activity	
Cre03.g185400						MAW2
Cre03.g181700	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g202337			Mitochondrion			MOT28
Cre03.g198851	GMM:27.3.26	RNA.regulation of transcription.MYB-related transcription factor family	Chloroplast			
Cre03.g195350	GMM:29.4	protein.postranslational modification	Mitochondrion	GO:0006464;GO:0004719	cellular protein modification process;protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	PIMT1
Cre03.g160700	GMM:27.3.9	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family	Chloroplast	GO:0043565;GO:0008270;GO:0006355;GO:0003700	"sequence-specific DNA binding;zinc ion binding;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre03.g183900			Chloroplast			
Cre03.g152850			Secretory pathway	GO:0055114;GO:0016715;GO:0005515;GO:0005507;GO:0004497	"oxidation-reduction process;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen;protein binding;copper ion binding;monooxygenase activity"	
Cre03.g202673			Secretory pathway			CSC2
Cre03.g202400	GMM:34.9	transport.metabolite transporters at the mitochondrial membrane	Chloroplast			MCP10
Cre03.g148900	GMM:26.7	"misc.oxidases - copper, flavone etc"				FMO5
Cre03.g190150			Chloroplast			CGL1
Cre03.g144384						
Cre03.g207901						
Cre03.g193600			Secretory pathway			
Cre03.g155800				GO:0006413;GO:0003743;GO:0003723	translational initiation;translation initiation factor activity;RNA binding	
Cre03.g198224						
Cre03.g144564	GMM:29.5.7	protein.degradation.metalloprotease	Secretory pathway			MMP13
Cre03.g204751			Mitochondrion	GO:0016780;GO:0016020;GO:0008654	"phosphotransferase activity, for other substituted phosphate groups;membrane;phospholipid biosynthetic process"	
Cre03.g146307	GMM:26.16;GMM:17.7.3	misc.myrosinases-lectin-jacalin;hormone metabolism.jasmonate.induced-regulated-responsive-activated				
Cre03.g152425				GO:0008408;GO:0006139;GO:0003676	3'-5' exonuclease activity;nucleobase-containing compound metabolic process;nucleic acid binding	
Cre03.g156450			Mitochondrion			
Cre03.g198550	GMM:29.4	protein.postranslational modification	Secretory pathway	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g151050	GMM:29.5.11.5;GMM:28.99	protein.degradation.ubiquitin.ubiquitin protease;DNA.unspecified		GO:0005515	protein binding	
Cre03.g170700			Secretory pathway	GO:0005975;GO:0004553	"carbohydrate metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds"	
Cre03.g194100	GMM:30.6;GMM:3.6;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	MAPKKK3
Cre03.g191850	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	Mitochondrion			
Cre03.g203000			Mitochondrion			
Cre03.g144124						
Cre03.g196800				GO:0016021	integral component of membrane	
Cre03.g180500			Secretory pathway			
Cre03.g202750			Mitochondrion			
Cre03.g207041						
Cre03.g195150						
Cre03.g165169						
Cre03.g190200						
Cre03.g183451						
Cre03.g198200	GMM:3.6	minor CHO metabolism.callose		GO:0016020;GO:0006075;GO:0003843;GO:0000148	"membrane;(1->3)-beta-D-glucan biosynthetic process;1,3-beta-D-glucan synthase activity;1,3-beta-D-glucan synthase complex"	GSL4
Cre03.g155450			Mitochondrion			
Cre03.g157650						
Cre03.g207000			Chloroplast			
Cre03.g178700						
Cre03.g150200						
Cre03.g201750			Chloroplast			
Cre03.g164650	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family		GO:0005515	protein binding	MOT1
Cre03.g146207	GMM:26.13	misc.acid and other phosphatases	Secretory pathway	GO:0016787	hydrolase activity	MPA1
Cre03.g209057			Mitochondrion			
Cre03.g145307						
Cre03.g170300	GMM:29.5.1	protein.degradation.subtilases	Mitochondrion	GO:0006508;GO:0004252	proteolysis;serine-type endopeptidase activity	SUB5
Cre03.g151450						
Cre03.g156476						
Cre03.g178350	GMM:30.3;GMM:3.3	signalling.calcium;minor CHO metabolism.sugar alcohols				FAP272
Cre03.g151300	GMM:29.4	protein.postranslational modification	Secretory pathway	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre03.g187000	GMM:31.4	cell.vesicle transport				
Cre03.g152750	GMM:29.6.2.6;GMM:20.2.1	protein.folding.chaperones and co-chaperones.co-chaperones;stress.abiotic.heat				BAG6
Cre03.g173300			Secretory pathway			
Cre03.g207750	GMM:23.1.2	nucleotide metabolism.synthesis.purine	Secretory pathway	GO:0035556;GO:0016849;GO:0009190	intracellular signal transduction;phosphorus-oxygen lyase activity;cyclic nucleotide biosynthetic process	
Cre03.g154900	GMM:35.1.41	not assigned.no ontology.hydroxyproline rich proteins				
